"filename", "language", "Ini", "Makefile", "C++", "JSON", "Markdown", "CMake", "TypeScript", "CMake Cache", "YAML", "C", "comment", "blank", "total"
"d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\SoftRenderer.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 2, 66
"d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\SoftRenderer.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\program\cpp_program\SoftRenderer_v2.0\Build\Makefile", "Makefile", 0, 555, 0, 0, 0, 0, 0, 0, 0, 0, 125, 203, 883
"d:\program\cpp_program\SoftRenderer_v2.0\Build\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 8, 50
"d:\program\cpp_program\SoftRenderer_v2.0\Build\compile_commands.json", "JSON", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 164
"d:\program\cpp_program\SoftRenderer_v2.0\Build\imgui.ini", "Ini", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\program\cpp_program\SoftRenderer_v2.0\TODO.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imconfig.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 110, 21, 132
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui.cpp", "C++", 0, 0, 11313, 0, 0, 0, 0, 0, 0, 0, 2880, 1599, 15792
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui.h", "C++", 0, 0, 2063, 0, 0, 0, 0, 0, 0, 0, 959, 305, 3327
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_demo.cpp", "C++", 0, 0, 6845, 0, 0, 0, 0, 0, 0, 0, 937, 786, 8568
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_draw.cpp", "C++", 0, 0, 3669, 0, 0, 0, 0, 0, 0, 0, 476, 478, 4623
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_impl_dx11.cpp", "C++", 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 76, 58, 606
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_impl_dx11.h", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 13, 8, 33
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_impl_win32.cpp", "C++", 0, 0, 697, 0, 0, 0, 0, 0, 0, 0, 148, 76, 921
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_impl_win32.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 28, 10, 53
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_internal.h", "C++", 0, 0, 2692, 0, 0, 0, 0, 0, 0, 0, 521, 374, 3587
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_tables.cpp", "C++", 0, 0, 2962, 0, 0, 0, 0, 0, 0, 0, 957, 479, 4398
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_widgets.cpp", "C++", 0, 0, 6769, 0, 0, 0, 0, 0, 0, 0, 1166, 1038, 8973
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imstb_rectpack.h", "C++", 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 229, 75, 628
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imstb_textedit.h", "C++", 0, 0, 811, 0, 0, 0, 0, 0, 0, 0, 464, 167, 1442
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imstb_truetype.h", "C++", 0, 0, 3485, 0, 0, 0, 0, 0, 0, 0, 1010, 591, 5086
"d:\program\cpp_program\SoftRenderer_v2.0\include\Color.hpp", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\program\cpp_program\SoftRenderer_v2.0\include\Scene.hpp", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\program\cpp_program\SoftRenderer_v2.0\include\Singleton.hpp", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\Component.hpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\Mesh.hpp", "C++", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 13, 66
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\MeshRenderer.hpp", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\Renderer.hpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 32, 4, 45
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\Transform.hpp", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\program\cpp_program\SoftRenderer_v2.0\include\gameobject\Camera.hpp", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 8, 33
"d:\program\cpp_program\SoftRenderer_v2.0\include\gameobject\GameObject.hpp", "C++", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 13, 51
"d:\program\cpp_program\SoftRenderer_v2.0\include\gameobject\Light.hpp", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\program\cpp_program\SoftRenderer_v2.0\include\math\MathUtil.hpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21
"d:\program\cpp_program\SoftRenderer_v2.0\include\math\Matrix.hpp", "C++", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 15, 98
"d:\program\cpp_program\SoftRenderer_v2.0\include\math\MinHeap.hpp", "C++", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\program\cpp_program\SoftRenderer_v2.0\include\math\OcTree.hpp", "C++", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 16, 123
"d:\program\cpp_program\SoftRenderer_v2.0\include\math\Vector.hpp", "C++", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 1, 28, 180
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\ApplicationStage.hpp", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 4, 25
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\Buffer.hpp", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\GeometricStage.hpp", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 5, 32
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\RasterizationStage.hpp", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 7, 28
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\RenderPipeline.hpp", "C++", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 15, 54
"d:\program\cpp_program\SoftRenderer_v2.0\include\shader\Shader.hpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"d:\program\cpp_program\SoftRenderer_v2.0\include\shader\ShaderData.hpp", "C++", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 17, 11, 83
"d:\program\cpp_program\SoftRenderer_v2.0\include\ui.hpp", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\program\cpp_program\SoftRenderer_v2.0\main.cpp", "C++", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 24, 14, 80
"d:\program\cpp_program\SoftRenderer_v2.0\src\Color.cpp", "C++", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\program\cpp_program\SoftRenderer_v2.0\src\Scene.cpp", "C++", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\Component.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\Mesh.cpp", "C++", 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 34, 74, 446
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\MeshRenderer.cpp", "C++", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 5, 24, 105
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\Renderer.cpp", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 264, 8, 282
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\Transform.cpp", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\program\cpp_program\SoftRenderer_v2.0\src\gameobject\Camera.cpp", "C++", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 134, 10, 222
"d:\program\cpp_program\SoftRenderer_v2.0\src\gameobject\GameObject.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\program\cpp_program\SoftRenderer_v2.0\src\gameobject\Light.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5
"d:\program\cpp_program\SoftRenderer_v2.0\src\math\MathUtil.cpp", "C++", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 8, 16, 76
"d:\program\cpp_program\SoftRenderer_v2.0\src\math\MinHeap.cpp", "C++", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 18, 100
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\ApplicationStage.cpp", "C++", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\Buffer.cpp", "C++", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 7, 17, 142
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\GeometricStage.cpp", "C++", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\RasterizationStage.cpp", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\RenderPipeline.cpp", "C++", 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 19, 94, 469
"d:\program\cpp_program\SoftRenderer_v2.0\src\shader\Shader.cpp", "C++", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 33, 28, 220
"d:\program\cpp_program\SoftRenderer_v2.0\src\ui.cpp", "C++", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 5, 64, 288
"Total", "-", 12, 555, 45343, 2366, 9, 361, 2, 340, 601, 682, 10832, 7390, 68493
